id_label,id_in,od_label,od_in,length_label,length_in
1/2,0.5,3/4,0.75,1/2,0.5
1/2,0.5,3/4,0.75,5/8,0.625
1/2,0.5,3/4,0.75,3/4,0.75
1/2,0.5,3/4,0.75,7/8,0.875
1/2,0.5,3/4,0.75,1,1.0
5/8,0.625,7/8,0.875,5/8,0.625
5/8,0.625,7/8,0.875,3/4,0.75
5/8,0.625,7/8,0.875,1,1.0
5/8,0.625,7/8,0.875,1 1/2,1.5
3/4,0.75,1 1/8,1.125,5/8,0.625
3/4,0.75,1 1/8,1.125,3/4,0.75
3/4,0.75,1 1/8,1.125,1,1.0
3/4,0.75,1 1/8,1.125,1 1/2,1.5
7/8,0.875,1 1/4,1.25,3/4,0.75
7/8,0.875,1 1/4,1.25,1,1.0
7/8,0.875,1 1/4,1.25,1 1/4,1.25
7/8,0.875,1 1/4,1.25,1 1/2,1.5
1,1.0,1 3/8,1.375,3/4,0.75
1,1.0,1 3/8,1.375,1,1.0
1,1.0,1 3/8,1.375,1 1/4,1.25
1,1.0,1 3/8,1.375,1 1/2,1.5
1,1.0,1 3/8,1.375,1 3/4,1.75
1,1.0,1 3/8,1.375,2,2.0
1,1.0,1 1/2,1.5,3/4,0.75
1,1.0,1 1/2,1.5,1,1.0
1,1.0,1 1/2,1.5,1 1/2,1.5
1,1.0,1 1/2,1.5,2,2.0
1 1/4,1.25,1 5/8,1.625,1,1.0
1 1/4,1.25,1 5/8,1.625,1 1/4,1.25
1 1/4,1.25,1 5/8,1.625,1 1/2,1.5
1 1/4,1.25,1 5/8,1.625,1 3/4,1.75
1 1/4,1.25,1 5/8,1.625,2,2.0
1 1/2,1.5,2,2.0,1,1.0
1 1/2,1.5,2,2.0,1 1/4,1.25
1 1/2,1.5,2,2.0,1 1/2,1.5
1 1/2,1.5,2,2.0,1 3/4,1.75
1 1/2,1.5,2,2.0,2,2.0
1 3/4,1.75,2 1/4,2.25,1 1/4,1.25
1 3/4,1.75,2 1/4,2.25,1 1/2,1.5
1 3/4,1.75,2 1/4,2.25,1 3/4,1.75
1 3/4,1.75,2 1/4,2.25,2,2.0
1 3/4,1.75,2 1/4,2.25,2 1/2,2.5
1 3/4,1.75,2 1/4,2.25,3,3.0
1 3/4,1.75,2 1/4,2.25,3 1/2,3.5
1 3/4,1.75,2 1/4,2.25,4,4.0
2,2.0,2 1/2,2.5,1 1/2,1.5
2,2.0,2 1/2,2.5,2,2.0
2,2.0,2 1/2,2.5,2 1/2,2.5
2,2.0,2 1/2,2.5,3,3.0
2 1/4,2.25,2 3/4,2.75,1 1/2,1.5
2 1/4,2.25,2 3/4,2.75,2,2.0
2 1/4,2.25,2 3/4,2.75,2 1/2,2.5
2 1/4,2.25,2 3/4,2.75,3,3.0
2 1/2,2.5,3,3.0,1 1/2,1.5
2 1/2,2.5,3,3.0,2,2.0
2 1/2,2.5,3,3.0,3,3.0
2 3/4,2.75,3 3/8,3.375,1 1/2,1.5
2 3/4,2.75,3 3/8,3.375,2,2.0
2 3/4,2.75,3 3/8,3.375,2 1/2,2.5
2 3/4,2.75,3 3/8,3.375,3,3.0
3,3.0,3 5/8,3.625,2,2.0
3,3.0,3 5/8,3.625,2 1/2,2.5
3,3.0,3 5/8,3.625,3,3.0
3,3.0,3 5/8,3.625,3 1/2,3.5
3 1/2,3.5,4 1/8,4.125,2,2.0
3 1/2,3.5,4 1/8,4.125,3,3.0
3 1/2,3.5,4 1/8,4.125,4,4.0
4,4.0,4 3/4,4.75,2,2.0
4,4.0,4 3/4,4.75,3,3.0
4,4.0,4 3/4,4.75,4,4.0
4 1/2,4.5,5 3/8,5.375,3,3.0
4 1/2,4.5,5 3/8,5.375,4,4.0
4 1/2,4.5,5 3/8,5.375,5,5.0
5,5.0,6,6.0,3,3.0
5,5.0,6,6.0,4,4.0
5,5.0,6,6.0,5,5.0
