fastener_size,washer_size_in,diameter_id_in,diameter_od_in,thickness_in
#6,0.138,0.156,0.375,0.049
#8,0.164,0.188,0.438,0.049
#10,0.190,0.219,0.500,0.049
#12,0.216,0.250,0.562,0.065
1/4 N,0.250,0.281,0.625,0.065
1/4 W,0.250,0.312,0.734,0.065
5/16 N,0.312,0.344,0.688,0.065
5/16 W,0.312,0.375,0.875,0.083
3/8 N,0.375,0.406,0.812,0.065
3/8 W,0.375,0.438,1.000,0.083
7/16 N,0.438,0.469,0.922,0.065
7/16 W,0.438,0.500,1.250,0.083
1/2 N,0.500,0.531,1.062,0.095
1/2 W,0.500,0.562,1.375,0.109
9/16 N,0.562,0.594,1.156,0.095
9/16 W,0.562,0.625,1.469,0.109
5/8 N,0.625,0.656,1.312,0.095
5/8 W,0.625,0.688,1.750,0.134
3/4 N,0.750,0.812,1.469,0.134
3/4 W,0.750,0.812,2.000,0.148
7/8 N,0.875,0.938,1.750,0.134
7/8 W,0.875,0.938,2.250,0.165
1 N,1.000,1.062,2.000,0.134
1 W,1.000,1.062,2.500,0.165
1 1/8 N,1.125,1.250,2.250,0.134
1 1/8 W,1.125,1.250,2.750,0.165
1 1/4 N,1.250,1.375,2.500,0.165
1 1/4 W,1.250,1.375,3.000,0.165
1 3/8 N,1.375,1.500,2.750,0.165
1 3/8 W,1.375,1.500,3.250,0.180
1 1/2 N,1.500,1.625,3.000,0.165
1 1/2 W,1.500,1.625,3.500,0.180
1 5/8,1.625,1.750,3.750,0.180
1 3/4,1.750,1.875,4.000,0.180
1 7/8,1.875,2.000,4.250,0.180
2,2.000,2.125,4.500,0.180
2 1/4,2.250,2.375,4.750,0.220
2 1/2,2.500,2.625,5.000,0.238
2 3/4,2.750,2.875,5.250,0.259
3,3.000,3.125,5.500,0.284
