size_system,size,wa_lbf_per_ft,ws_lbf_per_ft,m_kg_per_m,A,I,k,Z,J
in,1 x 1/8,0.416,1.128,,0.344,0.034,0.313,0.067,0.067
in,1 x 1/4,0.713,2.003,,0.589,0.046,0.28,0.092,0.092
in,1 1/2 x 1/8,0.653,1.769,,0.54,0.129,0.488,0.172,0.257
in,1 1/2 x 1/4,1.188,3.338,,0.982,0.199,0.451,0.266,0.399
in,2 x 1/8,0.891,2.67,,0.736,0.325,0.664,0.325,0.65
in,2 x 1/4,1.663,4.673,,1.374,0.537,0.625,0.537,1.074
in,2 1/2 x 1/8,1.129,3.05,,0.933,0.66,0.841,0.528,1.319
in,2 1/2 x 1/4,2.138,6.008,,1.767,1.132,0.8,0.906,2.276
in,3 x 1/4,2.614,7.343,,2.16,2.059,0.976,1.373,4.117
in,3 x 3/8,3.742,10.51,,3.093,2.718,0.938,1.812,5.436
in,4 x 3/16,2.717,7.654,,2.246,4.09,1.35,2.045,8.18
in,4 x 3/8,5.167,14.52,,4.271,7.09,1.289,3.544,14.18
mm,12 x 2,,,0.49,0.628,0.082,0.361,0.136,0.163
mm,16 x 2,,,0.687,0.879,0.22,0.5,0.275,0.44
mm,16 x 3,,,0.956,1.225,0.273,0.472,0.341,0.545
mm,20 x 4,,,1.569,2.01,0.684,0.583,0.684,1.367
mm,25 x 4,,,2.06,2.638,1.508,0.756,1.206,3.015
mm,25 x 5,,,2.452,3.14,1.669,0.729,1.336,3.338
mm,30 x 4,,,2.55,3.266,2.827,0.93,1.885,5.652
mm,30 x 5,,,3.065,3.925,3.192,0.901,2.128,6.381
mm,42 x 4,,,3.727,4.773,8.717,1.351,4.151,17.43
mm,42 x 5,,,4.536,5.809,10.13,1.32,4.825,20.255
mm,50 x 4,,,4.512,5.778,15.409,1.632,6.164,30.81
mm,50 x 5,,,5.517,7.065,18.118,1.601,7.247,36.226
